module,trial,timestamp,x,y
faces,34,2716,687.36,378
faces,34,2767,723.84,370.44
faces,34,2816,779.52,362.88
faces,34,2849,862.08,361.8
faces,34,2882,888.96,360.72
faces,34,2916,938.88,359.64
faces,34,2949,960,355.32
faces,34,2983,986.88,345.6
faces,34,3016,994.56,338.04
faces,34,3049,1002.24,331.56
faces,34,3083,998.4,326.16
faces,34,3116,994.56,321.84
faces,34,3184,929.28,311.04
faces,34,3216,744.96,307.8
faces,34,3250,798.72,311.04
faces,34,3316,887.04,379.08
faces,34,3350,902.4,397.44
faces,34,3383,900.48,400.68
faces,34,3416,906.24,403.92
faces,34,3450,917.76,407.16
faces,34,3483,919.68,406.08
faces,34,3533,921.6,401.76
faces,34,3583,929.28,397.44
faces,34,3616,935.04,393.12
faces,34,3651,942.72,388.8
faces,34,3683,952.32,385.56
faces,34,3716,958.08,384.48
faces,34,3750,958.08,387.72
faces,34,3784,956.16,385.56
faces,34,3817,956.16,389.88
faces,34,3850,952.32,388.8
faces,34,3885,940.8,389.88
faces,34,3951,915.84,392.04
faces,34,3983,800.64,405
faces,34,4017,725.76,410.4
faces,34,4050,650.88,416.88
faces,34,4084,589.44,420.12
faces,34,4117,577.92,408.24
faces,34,4151,529.92,385.56
faces,34,4184,524.16,367.2
faces,34,4218,516.48,354.24
faces,34,4251,506.88,345.6
faces,34,4284,499.2,341.28
faces,34,4351,514.56,321.84
faces,34,4384,622.08,255.96
faces,34,4417,650.88,251.64
faces,34,4451,660.48,249.48
faces,34,4484,668.16,249.48
faces,34,4517,670.08,250.56
faces,34,4551,677.76,253.8
faces,34,4584,704.64,257.04
faces,34,4618,718.08,261.36
faces,35,0,936.96,231.12
faces,35,0,946.56,228.96
faces,35,16,938.88,227.88
faces,35,50,900.48,224.64
faces,35,116,867.84,226.8
faces,35,149,526.08,206.28
faces,35,216,493.44,212.76
faces,35,249,531.84,236.52
faces,35,283,554.88,240.84
faces,35,316,568.32,238.68
faces,35,350,579.84,236.52
faces,35,383,587.52,233.28
faces,35,417,595.2,231.12
faces,35,450,595.2,226.8
faces,35,516,552.96,190.08
faces,35,550,516.48,199.8
faces,35,583,503.04,205.2
faces,35,616,491.52,207.36
faces,35,650,485.76,211.68
faces,35,683,480,213.84
faces,35,717,503.04,254.88
faces,35,750,514.56,274.32
faces,35,784,495.36,276.48
faces,35,817,483.84,264.6
faces,35,868,504.96,376.92
faces,35,916,562.56,413.64
faces,35,950,693.12,486
faces,35,983,708.48,481.68
faces,35,1017,727.68,474.12
faces,35,1050,739.2,467.64
faces,35,1084,1015.68,702
faces,35,1118,777.6,569.16
faces,35,1184,779.52,565.92
faces,35,1218,1013.76,644.76
faces,35,1284,958.08,644.76
faces,35,1318,942.72,652.32
faces,35,1351,954.24,681.48
faces,35,1384,921.6,683.64
faces,35,1451,912,690.12
faces,35,1484,888.96,725.76
faces,35,1518,881.28,719.28
faces,35,1551,595.2,617.76
faces,35,1584,994.56,841.32
faces,35,1619,762.24,651.24
faces,35,1684,994.56,940.68
faces,35,1719,554.88,841.32
faces,35,1784,537.6,807.84
faces,35,1818,516.48,787.32
faces,35,1851,528,767.88
faces,35,1918,528,751.68
faces,35,1951,529.92,741.96
faces,35,1985,531.84,737.64
faces,35,2018,535.68,734.4
faces,35,2087,775.68,434.16
faces,35,2151,800.64,405
faces,35,2185,819.84,372.6
faces,35,2252,833.28,355.32
faces,35,2285,840.96,344.52
faces,35,2319,842.88,334.8
faces,35,2352,844.8,322.92
faces,35,2385,856.32,300.24
faces,35,2452,846.72,294.84
faces,35,2518,1032.96,374.76
faces,35,2551,969.6,352.08
faces,35,2618,938.88,335.88
faces,35,2652,933.12,334.8
faces,35,2686,940.8,348.84
faces,35,2753,996.48,368.28
faces,35,2785,1017.6,379.08
faces,35,2852,975.36,369.36
faces,35,2885,679.68,387.72
faces,35,2919,635.52,403.92
faces,35,2953,625.92,403.92
faces,35,2986,624,396.36
faces,35,3053,629.76,383.4
faces,35,3086,629.76,378
faces,35,3119,625.92,378
faces,35,3186,625.92,378
faces,35,3254,612.48,378
faces,35,3286,631.68,352.08
faces,35,3321,645.12,320.76
faces,35,3386,660.48,309.96
faces,35,3453,629.76,179.28
faces,35,3487,716.16,222.48
faces,35,3553,725.76,172.8
faces,35,3586,723.84,147.96
faces,35,3619,969.6,177.12
faces,35,3686,954.24,162
faces,35,3719,1004.16,171.72
faces,35,3753,979.2,164.16
faces,35,3820,679.68,481.68
faces,35,3853,871.68,702
faces,35,3888,912,711.72
faces,35,3953,956.16,711.72
faces,35,4021,789.12,533.52
faces,35,4053,746.88,532.44
faces,35,4087,744.96,531.36
faces,35,4121,758.4,531.36
faces,35,4154,754.56,562.68
faces,35,4187,910.08,785.16
faces,35,4220,915.84,824.04
faces,35,4287,919.68,843.48
faces,35,4354,858.24,826.2
faces,35,4420,848.64,816.48
faces,35,4454,852.48,812.16
faces,35,4520,837.12,804.6
faces,35,4553,779.52,780.84
faces,35,4587,744.96,761.4
faces,35,4621,727.68,748.44
faces,35,4654,668.16,703.08
faces,36,0,648.96,416.88
faces,36,0,677.76,397.44
faces,36,21,685.44,368.28
faces,36,55,689.28,348.84
faces,36,88,693.12,331.56
faces,36,188,693.12,316.44
faces,36,254,687.36,290.52
faces,36,321,683.52,299.16
faces,36,388,643.2,273.24
faces,36,455,668.16,277.56
faces,36,588,629.76,279.72
faces,36,788,915.84,306.72
faces,36,821,925.44,303.48
faces,36,855,952.32,303.48
faces,36,888,969.6,301.32
faces,36,922,975.36,301.32
faces,36,955,979.2,301.32
faces,36,988,984.96,300.24
faces,36,1022,990.72,298.08
faces,36,1055,996.48,297
faces,36,1088,1006.08,295.92
faces,36,1122,1013.76,295.92
faces,36,1156,1023.36,295.92
faces,36,1189,1019.52,299.16
faces,36,1224,988.8,304.56
faces,36,1289,935.04,312.12
faces,36,1356,704.64,339.12
faces,36,1389,614.4,327.24
faces,36,1422,595.2,320.76
faces,36,1455,585.6,315.36
faces,36,1489,583.68,311.04
faces,36,1522,585.6,294.84
faces,36,1589,639.36,346.68
faces,36,1623,988.8,720.36
faces,36,1656,1009.92,759.24
faces,36,1690,1017.6,779.76
faces,36,1722,1023.36,780.84
faces,36,1755,1023.36,780.84
faces,36,1789,1029.12,773.28
faces,36,1822,1031.04,768.96
faces,36,1856,1034.88,763.56
faces,36,1890,1038.72,757.08
faces,36,1923,1044.48,750.6
faces,36,1957,1029.12,783
faces,36,1989,1000.32,745.2
faces,36,2023,1004.16,772.2
faces,36,2089,869.76,765.72
faces,36,2123,750.72,787.32
faces,36,2156,731.52,795.96
faces,36,2189,718.08,802.44
faces,36,2223,698.88,806.76
faces,36,2290,685.44,808.92
faces,36,2323,658.56,812.16
faces,36,2357,647.04,810
faces,36,2390,633.6,810
faces,36,2423,660.48,785.16
faces,36,2457,673.92,776.52
faces,36,2523,677.76,768.96
